date,stockSymbol,price
"2016-02-01","MMM",148.73
"2016-02-01","AXP",54.7
"2016-02-01","AAPL",96.43
"2016-02-01","BA",121.56
"2016-02-01","CAT",62.7
"2016-02-01","CVX",85.29
"2016-02-01","CSCO",23.48
"2016-02-01","KO",43
"2016-02-01","DIS",95.15
"2016-02-01","XOM",76.29
"2016-02-01","GE",28.64
"2016-02-01","GS",159.65
"2016-02-01","HD",126.51
"2016-02-01","IBM",124.83
"2016-02-01","INTC",30.82
"2016-02-01","JNJ",104.37
"2016-02-01","JPM",58.86
"2016-02-01","MCD",124.61
"2016-02-01","MRK",50.75
"2016-02-01","MSFT",54.71
"2016-02-01","NKE",63.16
"2016-02-01","PFE",30.17
"2016-02-01","PG",81.12
"2016-02-01","TRV",107.01
"2016-02-01","UTX",87.56
"2016-02-01","UNH",115.89
"2016-02-01","VZ",50.76
"2016-02-01","V",74.38
"2016-02-01","WMT",67.5
"2016-02-02","MMM",147.87
"2016-02-02","AXP",53.66
"2016-02-02","AAPL",94.48
"2016-02-02","BA",117.52
"2016-02-02","CAT",60.67
"2016-02-02","CVX",81.24
"2016-02-02","CSCO",22.83
"2016-02-02","KO",42.44
"2016-02-02","DIS",93.12
"2016-02-02","XOM",74.59
"2016-02-02","GE",28.24
"2016-02-02","GS",151.7
"2016-02-02","HD",125.27
"2016-02-02","IBM",122.94
"2016-02-02","INTC",29.8
"2016-02-02","JNJ",103.41
"2016-02-02","JPM",57.03
"2016-02-02","MCD",123.95
"2016-02-02","MRK",50.41
"2016-02-02","MSFT",53
"2016-02-02","NKE",62.55
"2016-02-02","PFE",30.14
"2016-02-02","PG",80.22
"2016-02-02","TRV",106.03
"2016-02-02","UTX",85.42
"2016-02-02","UNH",113.88
"2016-02-02","VZ",49.91
"2016-02-02","V",73.4
"2016-02-02","WMT",66.86
"2016-02-03","MMM",152.52
"2016-02-03","AXP",54.11
"2016-02-03","AAPL",96.35
"2016-02-03","BA",121.87
"2016-02-03","CAT",63.27
"2016-02-03","CVX",84.62
"2016-02-03","CSCO",23.1
"2016-02-03","KO",42.72
"2016-02-03","DIS",95.14
"2016-02-03","XOM",78.48
"2016-02-03","GE",28.67
"2016-02-03","GS",152.68
