ervals,photovoltaic,wind,Demand
"tX0001",,8657,42558
"tX0002",,8827,41620
"tX0003",,9081,40611
"tX0004",,9091,38809
"tX0005",,9167,38411
"tX0006",,9238,37426
"tX0007",,9698,36115
"tX0008",,10331,36229
"tX0009",52,10211,36529
"tX0010",771,10033,38909
"tX0011",2115,10551,41173
"tX0012",3363,11394,43186
"tX0013",4196,12107,45225
"tX0014",3499,12509,44375
"tX0015",2277,11924,43602
"tX0016",744,11860,43547
"tX0017",49,13593,45734
"tX0018",,15445,49478
"tX0019",,16872,48977
"tX0020",,18025,48013
"tX0021",,19208,46133
"tX0022",,20384,44470
"tX0023",,21266,48237
"tX0024",,22104,46446
"tX0025",,22512,44427
"tX0026",,23489,43542
"tX0027",,24319,42916
"tX0028",,25143,42744
"tX0029",,25808,42666
"tX0030",,26232,44044
"tX0031",,26418,45986
"tX0032",,26278,48692
"tX0033",36,26742,52277
"tX0034",252,26067,54975
"tX0035",665,25723,56962
"tX0036",1261,25859,58350
"tX0037",1725,25762,58446
"tX0038",1898,25877,58011
"tX0039",1350,25424,57017
"tX0040",514,25114,55770
"tX0041",43,24810,56859
"tX0042",,24388,59224
"tX0043",,25101,59478
"tX0044",,24831,57265
"tX0045",,24295,54888
"tX0046",,24375,53277
"tX0047",,24559,52592
"tX0048",,24615,47936
"tX0049",,24086,44514
"tX0050",,23302,42804
"tX0051",,22135,41199
"tX0052",,20919,40274
"tX0053",,20300,39691
"tX0054",,20537,39866
"tX0055",,21377,41833
"tX0056",,22018,43941
"tX0057",72,23040,46584
"tX0058",607,23479,49102
"tX0059",1276,23146,50842
"tX0060",1698,23291,52840
"tX0061",1616,22926,53722
"tX0062",1153,21270,53654
"tX0063",584,19496,52645
"tX0064",193,17532,52415
"tX0065",20,16097,54662
"tX0066",,15358,57756
"tX0067",,14381,58146
"tX0068",,12929,56229
"tX0069",,13784,52532
"tX0070",,15237,51354
"tX0071",,15896,51075
"tX0072",,17365,49192
"tX0073",,17873,44957
"tX0074",,18728,41795
"tX0075",,18898,40282
"tX0076",,19052,39447
"tX0077",,19180,39643
"tX0078",,18769,39222
"tX0079",,18674,39016
"tX0080",,18039,39937
"tX0081",56,18043,41363
"tX0082",972,17287,43653
"tX0083",2769,16828,46024
"tX0084",4149,16910,48667
"tX0085",4577,16863,48895
"tX0086",3992,16685,47961
"tX0087",2421,16155,46474
"tX0088",950,15109,46383
"tX0089",82,14191,48527
"tX0090",,13724,52744
"tX0091",,13743,53714
"tX0092",,14211,52765
"tX0093",,14082,50521
"tX0094",,13036,49410
"tX0095",,12419,49255
"tX0096",,12392,47055
"tX0097",,12311,44849
"tX0098",,12254,42904
"tX0099",,12665,42139
"tX0100",,12725,41710
"tX0101",,13545,43188
"tX0102",,14867,46524
"tX0103",,15428,51016
"tX0104",,15355,55776
"tX0105",92,15266,59321
"tX0106",1056,14714,60004
"tX0107",2985,13709,60799
