Time Intervals,photovoltaic,wind,Demand
tX0001,0,8657.0,42558.0
tX0002,0,8827.0,41620.0
tX0003,0,9081.0,40611.0
tX0004,0,9091.0,38809.0
tX0005,0,9167.0,38411.0
tX0006,0,9238.0,37426.0
tX0007,0,9698.0,36115.0
tX0008,0,10331.0,36229.0
tX0009,52.0,10211.0,36529.0
tX0010,771.0,10033.0,38909.0
tX0011,2115.0,10551.0,41173.0
tX0012,3363.0,11394.0,43186.0
tX0013,4196.0,12107.0,45225.0
tX0014,3499.0,12509.0,44375.0
tX0015,2277.0,11924.0,43602.0
tX0016,744.0,11860.0,43547.0
tX0017,49.0,13593.0,45734.0
tX0018,0,15445.0,49478.0
tX0019,0,16872.0,48977.0
tX0020,0,18025.0,48013.0
tX0021,0,19208.0,46133.0
tX0022,0,20384.0,44470.0
tX0023,0,21266.0,48237.0
tX0024,0,22104.0,46446.0
tX0025,0,22512.0,44427.0
tX0026,0,23489.0,43542.0
tX0027,0,24319.0,42916.0
tX0028,0,25143.0,42744.0
tX0029,0,25808.0,42666.0
tX0030,0,26232.0,44044.0
tX0031,0,26418.0,45986.0
tX0032,0,26278.0,48692.0
tX0033,36.0,26742.0,52277.0
tX0034,252.0,26067.0,54975.0
tX0035,665.0,25723.0,56962.0
tX0036,1261.0,25859.0,58350.0
tX0037,1725.0,25762.0,58446.0
tX0038,1898.0,25877.0,58011.0
tX0039,1350.0,25424.0,57017.0
tX0040,514.0,25114.0,55770.0
tX0041,43.0,24810.0,56859.0
tX0042,0,24388.0,59224.0
tX0043,0,25101.0,59478.0
tX0044,0,24831.0,57265.0
tX0045,0,24295.0,54888.0
tX0046,0,24375.0,53277.0
tX0047,0,24559.0,52592.0
tX0048,0,24615.0,47936.0
tX0049,0,24086.0,44514.0
tX0050,0,23302.0,42804.0
tX0051,0,22135.0,41199.0
tX0052,0,20919.0,40274.0
tX0053,0,20300.0,39691.0
tX0054,0,20537.0,39866.0
tX0055,0,21377.0,41833.0
tX0056,0,22018.0,43941.0
tX0057,72.0,23040.0,46584.0
tX0058,607.0,23479.0,49102.0
tX0059,1276.0,23146.0,50842.0
tX0060,1698.0,23291.0,52840.0
tX0061,1616.0,22926.0,53722.0
tX0062,1153.0,21270.0,53654.0
tX0063,584.0,19496.0,52645.0
tX0064,193.0,17532.0,52415.0
tX0065,20.0,16097.0,54662.0
tX0066,0,15358.0,57756.0
tX0067,0,14381.0,58146.0
tX0068,0,12929.0,56229.0
tX0069,0,13784.0,52532.0
tX0070,0,15237.0,51354.0
tX0071,0,15896.0,51075.0
tX0072,0,17365.0,49192.0
tX0073,0,17873.0,44957.0
tX0074,0,18728.0,41795.0
tX0075,0,18898.0,40282.0
tX0076,0,19052.0,39447.0
tX0077,0,19180.0,39643.0
tX0078,0,18769.0,39222.0
