i,lat,lng,demand,readyTime,dueDate,serviceTime
Braunschweig,52.266666,10.516667,0,0,1500,10
Stuttgart,48.778449,9.180013,30,500,600,10
Muenchen,48.137108,11.575382,30,600,650,10
Berlin,52.517037,13.38886,30,250,300,10
Potsdam,52.400931,13.05914,30,250,300,10
Bremen,53.07582,8.807165,30,250,270,10
Hamburg,53.543764,10.009913,30,170,190,10
Wiesbaden,50.082038,8.241656,10,350,370,10
Schwerin,53.62883,11.414804,10,200,220,10
Hannover,52.374478,9.738553,10,70,90,10
Duesseldorf,51.225402,6.776314,0,330,360,10
Mainz,50.001231,8.276251,0,400,450,10
Saarbruecken,49.234362,6.996379,0,1000,1200,10
Dresden,51.049329,13.738144,0,1100,1300,10
Magdeburg,52.131589,11.639961,0,800,850,10
Kiel,54.322708,10.135555,0,300,400,10
Erfurt,50.977797,11.028736,0,400,450,10
